id,popularity,budget,revenue,original_title,cast,director,keywords,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,Profit_adj
11,12.037933,11000000,775398007,Star Wars,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Peter Cushing', 'Alec Guinness']",George Lucas,"['android', 'galaxy', 'hermit', 'death star', 'lightsaber']",121,"['Adventure', 'Action', 'Science Fiction']","['Lucasfilm', 'Twentieth Century Fox Film Corporation']",1977-03-20,4428,7.9,1977,39575591.3582738,2789712242.27745,2750136650.919176
19995,9.432768,237000000,2781505847,Avatar,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Stephen Lang', 'Michelle Rodriguez']",James Cameron,"['culture clash', 'future', 'space war', 'space colony', 'society']",162,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Lightstorm Entertainment']",2009-12-10,8458,7.1,2009,240886902.887613,2827123750.41189,2586236847.524277
597,4.355219,200000000,1845034188,Titanic,"['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher', 'Billy Zane', 'Kathy Bates']",James Cameron,"['shipwreck', 'iceberg', 'ship', 'panic', 'titanic']",194,"['Drama', 'Romance', 'Thriller']","['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']",1997-11-18,4654,7.3,1997,271692064.214419,2506405735.41947,2234713671.205051
9552,2.010733,8000000,441306145,The Exorcist,"['Linda Blair', 'Max von Sydow', 'Ellen Burstyn', 'Jason Miller', 'Lee J. Cobb']",William Friedkin,"['exorcism', 'holy water', 'religion and supernatural', 'vomit', 'christian']",122,"['Drama', 'Horror', 'Thriller']","['Warner Bros.', 'Hoya Productions']",1973-12-26,1113,7.2,1973,39289276.6303944,2167324901.19974,2128035624.5693455
578,2.563191,7000000,470654000,Jaws,"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss', 'Lorraine Gary', 'Murray Hamilton']",Steven Spielberg,"['fishing', 'atlantic ocean', 'bathing', 'shipwreck', 'police chief']",124,"['Horror', 'Thriller', 'Adventure']","['Universal Pictures', 'Zanuck/Brown Productions']",1975-06-18,1415,7.3,1975,28362748.2044354,1907005841.91576,1878643093.7113247
601,2.900556,10500000,792910554,E.T. the Extra-Terrestrial,"['Henry Thomas', 'Drew Barrymore', 'Robert MacNaughton', 'Dee Wallace', 'Peter Coyote']",Steven Spielberg,"['farewell', 'homesickness', 'nasa', 'extraterrestrial technology', 'operation']",115,"['Science Fiction', 'Adventure', 'Family', 'Fantasy']","['Universal Pictures', 'Amblin Entertainment']",1982-04-03,1830,7.2,1982,23726245.2267878,1791694309.24878,1767968064.0219922
140607,11.173104,200000000,2068178225,Star Wars: The Force Awakens,"['Harrison Ford', 'Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley']",J.J. Abrams,"['android', 'spaceship', 'jedi', 'space opera', '3d']",136,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","['Lucasfilm', 'Truenorth Productions', 'Bad Robot']",2015-12-15,5292,7.5,2015,183999919.040035,1902723129.80182,1718723210.761785
1642,1.13661,22000000,1106279658,The Net,"['Sandra Bullock', 'Jeremy Northam', 'Dennis Miller', 'Wendy Gazelle', 'Ken Howard']",Irwin Winkler,"['cheating', 'new identity', 'computer virus', 'chase', 'computer']",114,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",['Columbia Pictures'],1995-07-28,201,5.6,1995,31481271.0763532,1583049536.35242,1551568265.2760668
12230,2.631987,4000000,215880014,One Hundred and One Dalmatians,"['Rod Taylor', ""J. Pat O'Malley"", 'Betty Lou Gerson', 'Martha Wentworth', 'Ben Wright']",Clyde Geronimi|Hamilton Luske|Wolfgang Reitherman,"['puppy', 'animation', 'dog', 'dalmatian']",79,"['Adventure', 'Animation', 'Comedy', 'Family']",['Walt Disney Productions'],1961-01-25,913,6.6,1961,29179444.8318826,1574814739.70476,1545635294.8728774
1891,5.488441,18000000,538400000,The Empire Strikes Back,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams', 'Anthony Daniels']",Irvin Kershner,"['rebel', 'asteroid', 'space battle', 'snow storm', 'space colony']",124,"['Adventure', 'Action', 'Science Fiction']","['Lucasfilm', 'Twentieth Century Fox Film Corporation']",1980-01-01,3954,8.0,1980,47628661.5525832,1424626187.77282,1376997526.2202368
